adulterant,source
(2-ethylhexyl)phthalate (dehp),usp
"-bornyl acetate, isobornyl acetate, -limonene, alpha-pinene, and camphene",usp
"1,3 dimethylamylamine",rasff
"1,3-dimethylbutylamine",rasff
"1,3-pentadiene",rasff
"2,4-dinitrophenol",rasff
2-methyl-2-propanol,rasff
"3,3'-diindolylmethane",rasff
3- aminotriazole,usp
"3-monochlor-1,2-propanediol",rasff
4- aminotriazole,usp
4-hexylresorcinol,rasff
4-methoxychalcone,usp
5-hydroxytryptophan,rasff
6-benzyladenine,ema
a syrup substance,ema
abietic acid,rasff
abitol with small amounts of ambroxan and p-methyl acetophenone to enhance odour,usp
acesulfame k,rasff
acetic acid (synthetic),usp
acetildenafil,rasff
acid insoluble ash,ema
acid whey,usp
acorns,usp
acrolein,ema
acrylamide,rasff
activated carbon,rasff
added color,usp
added color,ema
added sugars,usp
addition of water,ema
additional meat species,ema
additives,ema
"admixture of linalol, linalyl acetate, alpha-terpineol, geranyl, and neryl acetates with trace amounts of pyrazines",usp
adulterated khoya,ema
adulterated mawa,ema
aflatoxin,ema
aflatoxins,rasff
agar,rasff
agric white oil and red color additive,usp
aircraft machine oil,usp
alanine,usp
alaskan pollack,usp
alcohol,rasff
alcohol,ema
alcohol,fda
alcohol-derived vinegar,usp
aliphatic hydrocarbons,rasff
aliphatic sulphide mixtures,usp
"aliphatic sulphide mixtures containing 2-propenyl disulphide, and 1-propenyl disulphide",usp
alkaline phosphatase,ema
alkalinity,rasff
allantoin,usp
allura red,usp
allura red ac,rasff
allyl isothiocyanate,usp
allyl isothiocyanate and color,usp
almond husk,usp
almond oil,usp
almond shell powder,usp
almonds (butte),usp
alopias superciliosus [shark,ema
alpha-phellandrene and limonene,usp
"alpha-pinene, d-3-carene, myrcene",usp
alternate fish species,ema
aluminium,rasff
aluminium ammonium sulphate,rasff
aluminium sodium sulphate,rasff
aluminum,usp
aluminum,ema
aluminum foil,usp
amaranth,rasff
amaranth,usp
amaranth color additive,usp
amaranth dye,usp
amaranth dye or non-authentic source of anthocyanins,usp
american caviar,ema
amidinourea,usp
amino acids,ema
aminotriazine,usp
ammelide,usp
ammeline,usp
ammonia,ema
ammonium chloride,ema
ammonium nitrate,ema
ammonium nitrate,usp
ammonium sulfate,usp
ammonium sulfate,ema
and pork products,ema
androstenedione,fda
androstenedione,rasff
anglerfish of non-authentic species,usp
aniline,ema
animal drug,fda
"animal fat (lard, beef tallow, or chicken fat)",usp
animal feed oil,ema
animal ingredients,rasff
animal protein,rasff
animal-by-product,ema
animal-derived tyrosine,usp
animal-feed grade oil,usp
annato/bixin/norbixin,rasff
annatto,usp
anthocyannins extracted from black rice,usp
antibiotics,ema
antifreeze,ema
antimony,rasff
antiretroviral drugs (arvs),ema
apple juice,ema
apple juice,usp
apple or pear puree,usp
apple puree,usp
"apple, plum, sugar solutions, red grape juice, and rhubarb compote",usp
apricot kernels,usp
aregmone oil,usp
aregmone oil with allyl isothiocyanate and mustard yellow color,usp
argemone oil,usp
argemone oil (argemone mexicana),usp
argemone oil (argemone mexicana),usp
argemone seed oil,usp
argemone seeds,usp
argentine honey,ema
argentine pepper weed,ema
argentinean sunflower-seed oil,ema
arginine,usp
aromatic aldehydes,ema
aromatic hydrocarbons,rasff
arrowroot,usp
arrowroot,ema
arsenic,ema
arsenic,rasff
arsenic contaminated sodium phosphate,usp
artificial color,ema
artificial coloring,ema
artificial colors,usp
artificial colors,ema
artificial flavoring,ema
artificial milk flavors,ema
artificial sweeteners,usp
artificial sweeteners,ema
artificially colored fennel seeds,usp
artificially colored filler,usp
artificially colored non-authentic seed,usp
ash,ema
ash colored rice bran,ema
asian actaea species,usp
asian basa,usp
asian catfish,ema
asian catfish (china basa),usp
aspartame,rasff
aspartame,ema
aspartic acid,usp
atlantic salmon (salmo salar),usp
atropine sulfate,ema
avocado oil,ema
azodicarbonamide,rasff
azorubine,rasff
azorubine,usp
azorubine dye,usp
bacon,ema
bacteria,ema
bad hygienic state,rasff
banded coral shrimp,ema
barium,rasff
barium sulfate,usp
barley,usp
barley (food-grade),usp
basa,ema
basic red 46 dye,usp
bastard sole,ema
bearded brotula,ema
bearded brotula (cuskeel),ema
beef,ema
beef and pork gristle and bones,usp
beef fat,ema
beef fat,usp
beef from unhealthy cattle,ema
beef hearts,ema
beef jerky,ema
beef meat,ema
beef meat (bos indicus),usp
beef meat (grain-fed),usp
beef tallow,ema
beef tallow,usp
beef unfit for human consumption,ema
beet fiber,usp
beet invert syrup,usp
beet medium invert sugar,usp
beet medium invert syrup,usp
beet sugar,ema
beet sugar,usp
beluga caviar,ema
"benzaldehyde, as the oil",usp
benzalkonium chloride,usp
benzalkonium chloride,rasff
benzalkonium chloride (antimicrobial compound),usp
benzene,rasff
benzethonium chloride,usp
benzethonium chloride,rasff
benzethonium chloride (antimicrobial compound),usp
benzo(a)anthracene,rasff
benzo(a)pyrene,rasff
benzo(a)pyrene (bap),ema
benzoic acid,rasff
benzoic acid (preservative),ema
benzophenone,rasff
"benzyl acetate, methyl benzoate, para-cresyl methyl ether, geranyl acetate, benzyl benzoate, benzyl cinnamate, cedarwood oil, and others or complete reconstitutions/bases",usp
benzyl butyl phthalate (bbp),usp
bergamot juice (citrus bergamia risso and poit.),usp
bergamot oil (distilled),usp
beta-apo-8'-carotenal,usp
beta-asarone,rasff
beta-carotene,usp
beta-carotene,ema
beta-phenylethanol,usp
"beta-phenylethyl alcohol, rhodinol fractions, and cheaper rose oils (morocco, crimea, etc.)",usp
beta-phenylmethylamine,rasff
"beta-pinene, undecatrienes",usp
betalain pigments derived from red beets,usp
betanin,rasff
betanine dye,usp
bigeye thresher shark,ema
bigeye tuna (thunnus obesus),usp
bighead carp [hypophthalmichthys nobilis],ema
biotoxin,fda
bis,rasff
bishop flower,ema
bisnaga,ema
biurea,usp
biuret,usp
black leaf 40,ema
black oxide paint,ema
black rice pigment,usp
bleach,rasff
bleach liquor,ema
"blended vinegar (mixture of fermented vinegar, acetic acid and food additives)",usp
blossoms from onopardon acanthium l. mixed with barium sulfate and artificial color,usp
blotting paper,ema
bonito (euthynnus affinis),usp
borax,usp
borax and glycerin,usp
boric acid,ema
boric acid,usp
boric acid,rasff
boron,rasff
boron chelate,rasff
boron citrate,rasff
boron glycinate,rasff
bovine bones,ema
bovine gristle,ema
bovine milk proteins,usp
bovine protein,rasff
brachyplatystoma platynemum [common name slobbering catfish],ema
bran or saw dust,usp
brazilwood dye,usp
brick dust,usp
brick powder,usp
"brick powder, sand, or dirt",usp
brilliant blue fcf,rasff
bromate,rasff
brown peas or soybeans with green color and sodium metabisulfite,usp
buckwheat,usp
buckwheat flour,usp
buri (seriola quinqueradiata),usp
burned sugar,usp
burned tires,usp
burnt diesel oil,ema
butanone,rasff
butter of non-authentic geographic origin,usp
butter yellow dye,ema
buttermilk whey,usp
butylated hydroxyanisole,rasff
butylated hydroxytoluene,rasff
by-product of pesticide processing containing salt,usp
c12 benzalkonium chloride (antimicrobial compound),usp
c14 benzalkonium chloride (antimicrobial compound),usp
c16 benzalkonium chloride (antimicrobial compound),usp
c4 sugars,usp
cabernet sauvignon wine,usp
cadmium,rasff
caffeine,rasff
cage eggs,ema
calcium caprylate,rasff
calcium carbide,usp
calcium carbide,ema
calcium carbide powder,ema
calcium carbonate,ema
calcium carbonate,rasff
calcium carbonate,usp
calcium disodium ethylene diamine tetra acetate,rasff
calcium lactate gluconate,rasff
calcium propionate,usp
calcium sorbate,ema
"camphor, isobornyl acetate (+ eucalyptus and turpentine oil fractions)",usp
"cananga oil (cananga odorata), ylang ylang oil tails, and ylang ylang oil reconstitutions",usp
cane invert syrup,usp
cane or corn sugars,usp
cane sucrose,usp
cane sugar,usp
cane sugar,ema
cane sugar syrup,usp
cane sugar syrup,ema
canola oil,usp
canola oil,ema
canola oil and soybean oil,usp
cape,ema
cape dory,ema
cape gurnard,ema
capsaicin,rasff
capsaicinoids,rasff
capsicum,usp
carageenan,rasff
caramel,usp
caramel,ema
caramel coloring,ema
caramelized sugar,usp
carbide,ema
carbide,usp
carbonate of lime,usp
carboxymethyl cellulose,usp
carboxymethyl-cellulose,usp
carmalized sugar,usp
carmines,rasff
carmoisine,usp
carnuba wax,usp
carob powder,usp
carrageenan,rasff
cashew,usp
cassava flour,usp
cassia,ema
cassia,usp
cassia cinnamon,usp
caster oil,usp
castor oil,usp
cat meat,ema
catfish,usp
catfish,ema
catfish roe,usp
caustic soda,usp
caustic soda,ema
caustic soda sodium chloride and formalin,ema
cedar wood stearin,usp
cedarwood oil,usp
cedarwood oil chinese (cupressus funebris),usp
cellulose,usp
cellulose,ema
central american coffee beans,ema
cereals,usp
cesium,fda
cetrimonium bromide (antimicrobial compound),usp
chalk,usp
chalk powder,usp
chanodichthys mongolicus,ema
cheap bulk wine from south america,ema
cheap edible oil,ema
cheap french table wine,ema
cheap red wine,ema
cheap rice from asia,ema
cheap spanish oil,ema
cheaper apple juice concentrates,ema
cheaper flatfish species,ema
cheaper oils,ema
cheaper refined olive oils,ema
cheaper tropical tuna species,ema
cheaper white grape juice concentrates,ema
cheese of non-authentic geographic origin,usp
cheese substitute,ema
cheese whey,usp
chemical contamination,rasff
chemical dyes,ema
chemical powder,ema
chemical whiteners,ema
chemicals,ema
chestnut flour,usp
chestnut shell,usp
chicken,ema
chicken and turkey meat,usp
chicken blood,ema
chicken buttocks,ema
chicken fat,usp
chicken feed (conventional),usp
chicken meat,ema
chicken meat,usp
chicken meat from non-corn-fed chickens,usp
chickpea,usp
chickpea flour,usp
chicory,usp
chicory powder,usp
chilean salmon,ema
chilled cuttlefish,rasff
china  clay,usp
chinese catfish,ema
chinese garlic,ema
chinese honey,ema
chinese potato,ema
chinese salmon,ema
chinese shrimp,ema
chinese tangerines,ema
chinese-produced infant formula,ema
chloramphenicol,ema
chloramphenicol,fda
chlorine,rasff
chlorine dioxide,rasff
chloroflurocarbons,fda
chloroform,ema
chloroform,rasff
"chloroform, acetone, and isopropyl alcohol",usp
chlorophenol,rasff
chlorophyll,ema
chlorophylls,rasff
chlorophylls (copper complexes of),usp
choline,usp
choti elaichi seeds,usp
